epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.6103,2.47518,4.21234,2.6051,0.00249,0.75,0.02759,0.01062,2.56382,5.07486,2.94001,3.75e-05,3.75e-05,3.75e-05
2,36.9208,2.06111,3.7976,2.17735,0.0049,1,0.0742,0.03018,1.97957,4.64725,2.46189,8.57675e-05,8.57675e-05,8.57675e-05
3,55.1929,1.70766,3.79583,1.93541,0.00811,1,0.16569,0.08915,2.11174,4.3634,2.50214,0.000132055,0.000132055,0.000132055
4,73.2295,1.60261,3.60779,1.75979,0.008,0.83333,0.16718,0.08833,2.07845,4.57069,2.40535,0.000176362,0.000176362,0.000176362
5,91.162,1.42663,3.41504,1.59625,0.01046,0.91667,0.31321,0.16091,1.90992,4.61082,2.3323,0.00021869,0.00021869,0.00021869
6,109.317,1.47008,3.4347,1.62621,0.01487,0.85417,0.30721,0.20504,1.53467,4.33209,2.05034,0.000259038,0.000259038,0.000259038
7,126.678,1.36283,3.21481,1.582,0.01669,0.9375,0.34274,0.21879,1.31254,4.21683,1.73136,0.000297405,0.000297405,0.000297405
8,144.452,1.35138,3.10413,1.50236,0.0112,1,0.29727,0.22435,1.08228,4.25787,1.53079,0.000333792,0.000333792,0.000333792
9,162.27,1.39344,3.03964,1.54243,0.00825,0.91667,0.33754,0.26907,1.15504,4.22073,1.59129,0.0003682,0.0003682,0.0003682
10,179.839,1.04046,2.71291,1.35056,0.00909,0.91667,0.44989,0.30515,1.122,4.1286,1.57683,0.000400628,0.000400628,0.000400628
11,197.398,1.2731,2.81104,1.48862,0.00662,0.91667,0.33312,0.17231,1.23501,4.13343,1.68958,0.000431075,0.000431075,0.000431075
12,214.067,1.23352,2.71066,1.49246,0.00675,1,0.42629,0.2856,1.09517,4.02183,1.55528,0.000459543,0.000459543,0.000459543
13,231.396,1.21609,2.39941,1.37599,0.00526,1,0.60089,0.40127,1.1109,3.75328,1.64267,0.00048603,0.00048603,0.00048603
14,248.016,1.2186,2.41264,1.3996,0.00443,1,0.71082,0.46491,1.19932,3.52061,1.77598,0.000510537,0.000510537,0.000510537
15,264.634,1.09874,2.24004,1.37303,0.66774,0.16667,0.72569,0.46922,1.14385,3.50498,1.56845,0.000533065,0.000533065,0.000533065
16,281.25,1.10181,2.20658,1.30608,0.75,0.24223,0.75635,0.51291,1.08892,3.52498,1.49539,0.000553613,0.000553613,0.000553613
17,298.35,1.01158,2.24334,1.32236,0.00423,1,0.78333,0.48937,1.21112,3.57405,1.89086,0.00057218,0.00057218,0.00057218
18,316.086,1.04608,1.93667,1.29534,0.58988,0.6875,0.92696,0.66465,1.13322,3.397,1.66979,0.000588767,0.000588767,0.000588767
19,333.017,1.12386,1.94121,1.34714,0.67988,0.67194,0.72583,0.47899,1.13676,3.27252,1.78175,0.000603375,0.000603375,0.000603375
20,350.122,1.08785,1.85972,1.2657,0.77102,0.75319,0.9225,0.6456,1.0821,3.17607,1.5665,0.000616003,0.000616003,0.000616003
21,367.197,0.94644,1.65738,1.22314,0.9674,0.84222,0.9495,0.71607,0.98904,3.05691,1.36457,0.00062665,0.00062665,0.00062665
22,384.089,0.91608,1.76968,1.22501,0.6903,0.64785,0.86031,0.62434,1.03213,3.08118,1.44548,0.000635318,0.000635318,0.000635318
23,400.979,1.05928,1.76622,1.30297,0.80848,0.80177,0.962,0.81093,0.78362,2.81436,1.17976,0.000642005,0.000642005,0.000642005
24,418.002,0.99747,1.75607,1.29185,0.82344,0.94891,0.995,0.78132,0.8835,2.52478,1.32451,0.000646713,0.000646713,0.000646713
25,436.568,0.93806,1.56376,1.17614,0.84206,0.92905,0.995,0.74419,1.03584,2.58398,1.48063,0.00064944,0.00064944,0.00064944
26,454.961,0.92682,1.49565,1.1574,0.74144,0.99316,0.995,0.77481,0.9786,2.48739,1.48538,0.00063125,0.00063125,0.00063125
27,473.422,0.82366,1.64345,1.18675,0.75073,0.9778,0.995,0.75461,0.97401,2.40636,1.35453,0.0006065,0.0006065,0.0006065
28,492.446,0.87805,1.49945,1.15948,0.75808,0.95303,0.995,0.77793,0.94172,2.34968,1.26621,0.00058175,0.00058175,0.00058175
29,511.194,0.74854,1.33437,1.08629,0.73559,0.98241,0.995,0.80114,0.95642,2.22471,1.36848,0.000557,0.000557,0.000557
30,529.146,0.89726,1.55469,1.20728,0.90647,0.98743,0.995,0.82186,0.82623,1.88796,1.18026,0.00053225,0.00053225,0.00053225
31,547.955,0.83656,1.45293,1.14046,0.96187,1,0.995,0.81915,0.78897,1.71505,1.14323,0.0005075,0.0005075,0.0005075
32,566.926,0.79319,1.34709,1.10968,0.96574,1,0.995,0.82153,0.73273,1.65427,1.11971,0.00048275,0.00048275,0.00048275
33,585.087,0.81895,1.3945,1.12394,0.95571,1,0.995,0.83121,0.72282,1.68774,1.11291,0.000458,0.000458,0.000458
34,604.412,0.78033,1.48387,1.14785,0.91988,1,0.995,0.82256,0.66723,1.6616,1.0489,0.00043325,0.00043325,0.00043325
35,624.197,0.80974,1.31701,1.119,0.84586,1,0.995,0.81259,0.68211,1.77052,1.0507,0.0004085,0.0004085,0.0004085
36,643.199,0.70579,1.34576,1.09231,0.87427,1,0.995,0.84991,0.64873,1.76324,1.02302,0.00038375,0.00038375,0.00038375
37,661.321,0.73573,1.37639,1.12982,0.93501,1,0.995,0.83128,0.67016,1.60903,1.04501,0.000359,0.000359,0.000359
38,678.883,0.80449,1.38752,1.14804,0.96813,1,0.995,0.82351,0.67232,1.47576,1.03995,0.00033425,0.00033425,0.00033425
39,696.896,0.75673,1.34421,1.08515,0.97754,1,0.995,0.8659,0.62972,1.46224,0.98115,0.0003095,0.0003095,0.0003095
40,716.06,0.72052,1.28213,1.09789,0.97824,1,0.995,0.84832,0.63837,1.42641,0.9801,0.00028475,0.00028475,0.00028475
41,735.603,0.52347,1.3305,0.99897,0.97109,1,0.995,0.8628,0.60357,1.50702,0.97673,0.00026,0.00026,0.00026
42,754.043,0.48955,1.30828,0.95244,0.96495,1,0.995,0.86327,0.59869,1.58394,0.97324,0.00023525,0.00023525,0.00023525
43,771.317,0.48558,1.298,0.97641,0.96041,1,0.995,0.85716,0.59976,1.67362,0.97157,0.0002105,0.0002105,0.0002105
44,787.857,0.44054,1.24104,0.92368,0.95427,1,0.995,0.87165,0.56833,1.70373,0.94359,0.00018575,0.00018575,0.00018575
45,805.337,0.47283,1.28686,0.99257,0.93081,1,0.995,0.88608,0.50106,1.68099,0.90567,0.000161,0.000161,0.000161
46,822.162,0.45342,1.2719,0.96354,0.9216,1,0.995,0.89432,0.48404,1.58719,0.89603,0.00013625,0.00013625,0.00013625
47,838.366,0.44335,1.29723,0.98124,0.92718,1,0.995,0.89227,0.50042,1.48548,0.9134,0.0001115,0.0001115,0.0001115
48,854.478,0.43307,1.26982,0.93611,0.93639,1,0.995,0.88404,0.50735,1.41377,0.92218,8.675e-05,8.675e-05,8.675e-05
49,870.45,0.396,1.20199,0.9243,0.943,1,0.995,0.88404,0.5182,1.37015,0.92739,6.2e-05,6.2e-05,6.2e-05
50,887.721,0.40898,1.16877,0.91287,0.94713,1,0.995,0.87995,0.51635,1.33911,0.92549,3.725e-05,3.725e-05,3.725e-05
